epoch,train_loss,train_acc,es_val_acc,ao_val_acc,es_Forest_Vegetation,es_Cropland,es_Water,es_Built_up,ao_Forest_Vegetation,ao_Cropland,ao_Water,ao_Built_up,ao_Bare_Sparse,ao_Wetland,elapsed_s,best_es_val_acc
1,0.423907,0.850865,0.823889,0.533898,0.9263,0.9191,0.4845,0.8894,0.0,0.0,0.15,0.0,1.0,1.0,426.5,0.823889
2,0.283852,0.899837,0.918148,0.567797,0.9669,0.9345,0.8109,0.9319,0.2,0.0,0.25,0.0,1.0,1.0,766.4,0.918148
3,0.249933,0.910528,0.938704,0.559322,0.9194,0.9536,0.9527,0.9381,0.0,0.0,0.15,0.375,1.0,1.0,1197.6,0.938704
4,0.221883,0.921627,0.951667,0.686441,0.9656,0.9527,0.9436,0.9425,0.2,0.35,0.45,0.375,1.0,1.0,1672.4,0.951667
5,0.207716,0.9243,0.950926,0.601695,0.9375,0.9536,0.9445,0.9669,0.0,0.3,0.25,0.0,1.0,1.0,2048.7,0.951667
6,0.18522,0.930371,0.956481,0.661017,0.9712,0.9436,0.96,0.9481,0.0,0.45,0.45,0.0,1.0,1.0,2391.5,0.956481
7,0.1717,0.937755,0.957963,0.652542,0.965,0.9573,0.9509,0.9563,0.1,0.15,0.5,0.375,1.0,1.0,2903.7,0.957963
8,0.16021,0.939023,0.957778,0.79661,0.97,0.9464,0.9573,0.9537,0.1,0.95,0.55,0.375,1.0,1.0,3370.9,0.957963
9,0.167474,0.93925,0.96037,0.771186,0.9663,0.9473,0.9591,0.9644,0.1,0.7,0.65,0.375,1.0,1.0,3961.8,0.96037
