epoch,train_loss,train_acc,es_val_acc,ao_val_acc,es_Forest_Vegetation,es_Cropland,es_Water,es_Built_up,ao_Forest_Vegetation,ao_Cropland,ao_Water,ao_Built_up,ao_Bare_Sparse,ao_Wetland,elapsed_s,best_es_val_acc
1,0.425651,0.818927,0.901667,0.567797,0.9137,0.94,0.8091,0.9269,0.3,0.0,0.0,0.625,1.0,0.9667,485.0,0.901667
2,0.287999,0.88013,0.91,0.59322,0.8844,0.8791,0.9227,0.9481,0.6,0.05,0.05,0.375,1.0,0.9667,898.1,0.91
3,0.241786,0.896711,0.921296,0.652542,0.8975,0.8964,0.9136,0.9675,0.8,0.0,0.25,0.625,1.0,0.9667,1403.4,0.921296
4,0.22983,0.903552,0.934444,0.677966,0.9587,0.9036,0.9464,0.9231,0.6,0.3,0.2,0.625,1.0,0.9667,1912.9,0.934444
5,0.213872,0.910981,0.938333,0.644068,0.9469,0.9291,0.9473,0.93,0.7,0.3,0.15,0.625,0.8667,0.9667,2404.8,0.938333
6,0.185932,0.920857,0.939815,0.711864,0.95,0.9282,0.94,0.9375,0.7,0.3,0.35,0.625,1.0,0.9667,2886.0,0.939815
7,0.177968,0.926157,0.947407,0.711864,0.9519,0.9455,0.9418,0.9481,0.6,0.3,0.35,0.625,1.0,1.0,3374.6,0.947407
8,0.160284,0.929691,0.948333,0.677966,0.9556,0.9436,0.9436,0.9475,0.6,0.3,0.3,0.625,1.0,0.9,3824.9,0.948333
9,0.167988,0.926701,0.949259,0.694915,0.965,0.9473,0.9455,0.9375,0.7,0.3,0.3,0.625,1.0,0.9333,4311.6,0.949259
10,0.160688,0.92729,0.947778,0.728814,0.9563,0.9473,0.9318,0.9506,0.7,0.3,0.4,0.625,1.0,1.0,4789.9,0.949259
11,0.150618,0.933134,0.95463,0.711864,0.9669,0.9464,0.9618,0.9431,0.5,0.3,0.4,0.625,1.0,1.0,5294.7,0.95463
12,0.141633,0.936577,0.952963,0.762712,0.9575,0.9455,0.9618,0.9475,0.6,0.45,0.55,0.625,1.0,0.9667,5717.7,0.95463
13,0.1476,0.932681,0.951852,0.762712,0.9631,0.9518,0.9464,0.9444,0.7,0.45,0.45,0.625,1.0,1.0,6228.6,0.95463
14,0.145377,0.934855,0.953333,0.762712,0.9575,0.9527,0.9473,0.9537,0.7,0.45,0.45,0.625,1.0,1.0,6674.2,0.95463
15,0.13698,0.938072,0.955741,0.745763,0.9688,0.9464,0.9527,0.9513,0.7,0.45,0.4,0.625,1.0,0.9667,7180.3,0.955741
